,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,F,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,A,A,A,B,A,T,A,A,A,T,T,T,T,T,T,T,B,A,A,A,T,A,A,A,T,T,T,T,A,A,A,A,A,T,T,T,T,T,T,T,F
11,F,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,A,A,B,B,A,T,A,A,A,A,A,A,A,T,T,T,B,A,A,A,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F
12,F,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,A,A,B,B,A,A,A,A,A,A,A,A,A,T,T,T,B,A,A,A,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,F
13,F,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,T,T,B,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,T,A,A,A,A,A,F
14,F,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,B,V,V,B,B,A,A,A,T,T,T,T,A,A,A,T,T,B,T,T,A,A,A,T,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,F
15,F,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,T,T,T,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,B,A,A,A,T,T,T,T,A,A,A,T,T,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,T,A,A,A,A,A,A,A,A,F
16,F,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,T,T,T,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,B,A,A,A,A,A,A,T,T,T,T,T,B,B,B,B,B,B,B,B,B,B,B,A,T,A,A,A,T,A,A,A,A,A,A,T,T,F
17,F,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,A,A,A,A,A,A,T,T,T,A,A,A,B,T,T,T,T,A,A,A,A,A,A,T,A,A,A,T,A,A,A,A,A,A,T,T,F
18,F,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,B,B,A,A,A,A,A,A,T,T,T,A,A,A,B,T,T,T,T,A,A,A,A,A,A,T,A,A,A,T,T,T,T,A,A,A,T,T,F
19,F,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,SP,V,SP,V,V,V,V,SP,SP,SP,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,A,A,A,A,A,T,T,T,B,B,B,B,B,B,B,B,B,B,B,T,T,T,T,T,T,T,T,B,A,A,T,T,T,T,T,T,T,F
20,F,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,SP,V,V,V,SP,V,V,SP,V,V,V,SP,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,A,A,A,T,T,T,T,T,T,A,B,B,B,B,B,B,B,B,B,B,B,T,T,B,T,B,A,A,T,T,T,T,A,A,A,F
21,F,V,V,V,V,V,V,V,V,V,V,V,V,SP,SP,SP,V,V,V,V,V,SP,SP,V,V,V,V,V,SP,V,V,V,V,B,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,A,A,A,A,T,T,T,T,T,A,A,A,T,A,A,A,T,A,A,A,T,T,T,B,T,B,A,A,T,T,T,T,A,A,A,F
22,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,A,T,T,T,B,T,B,A,A,T,T,T,T,A,A,A,F
23,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,A,A,T,A,A,A,T,T,T,T,T,T,A,A,A,A,A,A,A,B,A,B,T,T,T,T,T,T,A,A,A,F
24,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,SP,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,A,A,T,A,A,A,T,T,T,T,T,A,A,A,A,A,A,A,A,B,A,B,B,A,T,T,T,T,A,A,A,F
25,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,B,A,B,B,A,T,T,T,T,A,A,A,F
26,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,T,T,T,A,A,A,T,T,T,A,A,A,A,A,A,A,A,B,T,B,B,A,T,T,T,A,A,A,T,F
27,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,T,T,T,T,T,A,A,A,A,T,T,A,A,A,A,A,A,A,A,B,A,B,B,T,T,T,B,A,A,A,T,F
28,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,T,B,T,T,T,A,A,A,A,A,B,A,B,B,T,T,T,B,A,A,A,T,F
29,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,T,B,T,B,B,B,B,B,B,B,B,B,B,B,T,T,T,B,A,A,A,T,F
30,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,T,T,T,B,T,T,T,T,T,A,A,A,B,A,T,B,A,A,T,B,T,T,T,T,F
31,F,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,B,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,T,A,A,B,T,T,T,T,T,A,A,A,T,T,T,B,A,A,A,B,T,A,A,A,F
32,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,B,V,V,SP,V,V,V,V,V,V,V,V,V,V,SP,SP,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,B,T,T,T,T,T,T,T,T,T,A,A,B,A,A,A,B,T,A,A,A,F
33,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,B,B,B,B,B,B,B,B,B,B,B,SP,V,V,V,V,V,V,SP,SP,SP,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,B,T,T,T,T,T,T,T,T,T,A,A,B,A,A,A,B,A,A,A,A,F
34,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,B,T,B,V,V,V,V,SP,SP,V,V,V,SP,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,A,A,A,T,A,A,A,T,T,A,A,B,A,A,A,B,A,A,T,T,F
35,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,T,B,V,V,V,V,V,V,SP,V,SP,V,V,V,V,V,V,V,V,V,SP,SP,SP,SP,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,A,A,A,T,A,A,A,T,T,T,T,A,A,A,A,B,A,A,T,T,F
36,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,T,B,V,V,V,V,V,V,V,SP,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,T,A,A,A,A,A,T,T,A,A,A,T,B,T,T,T,T,F
37,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,A,A,T,A,A,A,A,T,A,A,A,T,B,T,T,T,T,F
38,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,A,A,T,A,A,A,A,T,T,T,T,A,A,A,T,T,T,F
39,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,T,A,A,A,T,T,A,A,A,A,A,T,T,T,F
40,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,T,T,A,A,A,T,A,A,A,A,A,T,T,T,F
41,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,SP,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,A,T,A,A,A,A,A,A,A,T,T,T,T,T,F
42,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,A,B,V,V,V,A,A,T,A,A,A,A,A,A,T,T,T,T,T,T,F
43,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,A,B,A,A,A,A,A,T,T,T,T,A,A,A,A,T,T,T,T,T,F
44,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,B,T,A,A,A,T,T,T,B,B,B,B,B,B,B,B,B,B,B,F
45,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,SP,V,V,V,V,V,V,V,V,V,V,V,B,T,A,A,A,T,T,T,A,A,A,A,A,A,A,A,A,A,A,F
46,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,B,A,A,A,A,T,T,T,A,A,A,A,T,T,A,A,A,A,A,F
47,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,B,A,A,A,A,T,T,T,A,A,A,T,A,A,A,A,A,A,A,F
48,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,T,A,A,A,A,A,A,A,A,A,F
49,F,V,V,V,V,V,V,V,V,V,V,V,V,B,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,A,A,A,A,A,A,A,A,T,F
50,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,A,A,A,T,T,T,T,T,F
51,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,SP,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,A,A,T,T,F
52,F,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,A,T,T,F
53,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,A,T,F
54,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,B,V,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,A,T,F
55,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,SP,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,A,A,T,F
56,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,SP,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,T,T,F
57,F,V,V,B,B,B,B,B,B,B,B,B,B,B,V,B,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,SP,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,T,F
58,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,SP,V,V,V,V,V,V,B,V,V,V,V,V,V,V,A,V,V,V,V,V,F
59,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,V,V,SP,V,V,V,V,V,V,B,V,V,V,V,V,V,V,A,V,V,V,V,V,F
60,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,V,V,V,T,B,V,SP,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,F
61,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,A,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,B,V,V,SP,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,A,A,V,V,F
62,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,A,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,B,V,V,V,SP,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,A,A,V,V,F
63,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,A,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,B,V,V,V,SP,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,A,A,F
64,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,A,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,B,V,V,V,SP,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,A,F
65,F,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,B,A,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,B,B,V,V,V,V,V,V,V,V,SP,V,V,V,V,V,B,V,V,V,V,V,V,V,V,V,V,V,V,A,F
